member,12,186853
member,18,290140
casual,1,23494
casual,7,47933
member,9,163898
casual,21,71211
member,15,232991
casual,13,126753
casual,4,6940
casual,10,82463
member,6,99166
casual,22,59990
member,14,184844
casual,16,168815
casual,5,11011
member,23,48932
member,3,7521
member,11,165383
casual,19,116421
member,17,375171
casual,2,15671
member,0,31397
casual,8,68020
member,20,138375
casual,20,83814
member,16,328697
casual,3,8697
casual,14,133257
casual,11,105331
member,5,33526
casual,23,43473
casual,17,183294
member,19,200355
casual,0,36767
member,22,78620
member,8,252055
member,2,11430
member,10,141052
casual,18,156938
casual,9,68281
member,1,19110
member,21,107978
member,7,196423
member,13,181980
casual,15,148074
casual,6,25699
casual,12,123725
member,4,8606
